zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
85003,33.45076,-112.07836,Phoenix,AZ,Arizona,TRUE,,8419,1953.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85004,33.45156,-112.06986,Phoenix,AZ,Arizona,TRUE,,6552,939.7,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85006,33.46516,-112.04789,Phoenix,AZ,Arizona,TRUE,,28176,2546.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85007,33.44713,-112.0912,Phoenix,AZ,Arizona,TRUE,,14751,1187.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85008,33.46331,-111.98676,Phoenix,AZ,Arizona,TRUE,,62992,2069.8,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85009,33.44282,-112.12823,Phoenix,AZ,Arizona,TRUE,,49536,1298.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85012,33.50731,-112.07035,Phoenix,AZ,Arizona,TRUE,,7012,1124.4,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85013,33.51007,-112.08287,Phoenix,AZ,Arizona,TRUE,,20902,2005.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85014,33.50855,-112.05675,Phoenix,AZ,Arizona,TRUE,,27395,2289.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85015,33.50917,-112.10179,Phoenix,AZ,Arizona,TRUE,,39866,2976.6,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85016,33.51359,-112.02967,Phoenix,AZ,Arizona,TRUE,,35167,1449,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85017,33.50909,-112.1237,Phoenix,AZ,Arizona,TRUE,,41993,2862.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85018,33.50536,-111.98577,Phoenix,AZ,Arizona,TRUE,,38833,1252.2,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85019,33.50918,-112.14299,Phoenix,AZ,Arizona,TRUE,,26659,2578.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85020,33.56733,-112.05461,Phoenix,AZ,Arizona,TRUE,,34782,1426.6,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85021,33.55998,-112.09398,Phoenix,AZ,Arizona,TRUE,,42002,2166.7,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85022,33.62713,-112.05181,Phoenix,AZ,Arizona,TRUE,,51426,1915.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85023,33.63154,-112.09466,Phoenix,AZ,Arizona,TRUE,,34488,1653.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85024,33.73546,-112.03346,Phoenix,AZ,Arizona,TRUE,,24675,313.8,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85027,33.6819,-112.0996,Phoenix,AZ,Arizona,TRUE,,36539,1020.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85028,33.57555,-112.00912,Phoenix,AZ,Arizona,TRUE,,19389,738,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85029,33.59501,-112.11029,Phoenix,AZ,Arizona,TRUE,,45958,1748.2,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85031,33.49492,-112.16833,Phoenix,AZ,Arizona,TRUE,,32737,2905.6,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85032,33.6263,-112.00381,Phoenix,AZ,Arizona,TRUE,,72830,2035.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85033,33.49438,-112.21165,Phoenix,AZ,Arizona,TRUE,,65759,3359,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85034,33.43489,-112.02005,Phoenix,AZ,Arizona,TRUE,,4772,188.7,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85035,33.47144,-112.19466,Phoenix,AZ,Arizona,TRUE,,58327,3207.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85037,33.49056,-112.26468,Phoenix,AZ,Arizona,TRUE,,55567,2111.6,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85040,33.40613,-112.02657,Phoenix,AZ,Arizona,TRUE,,35358,1113.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85041,33.38586,-112.10884,Phoenix,AZ,Arizona,TRUE,,62491,1336.6,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85042,33.36882,-112.04246,Phoenix,AZ,Arizona,TRUE,,46570,1052.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85043,33.43242,-112.19646,Phoenix,AZ,Arizona,TRUE,,39757,624.2,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85044,33.34239,-112.00176,Phoenix,AZ,Arizona,TRUE,,41449,1017.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85045,33.29917,-112.10853,Phoenix,AZ,Arizona,TRUE,,7063,772.4,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85048,33.31255,-112.05576,Phoenix,AZ,Arizona,TRUE,,35252,655.2,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85050,33.68633,-111.9963,Phoenix,AZ,Arizona,TRUE,,30647,681.5,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85051,33.55908,-112.1332,Phoenix,AZ,Arizona,TRUE,,44042,2467.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85053,33.62994,-112.1316,Phoenix,AZ,Arizona,TRUE,,29976,2111,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85054,33.67311,-111.94612,Phoenix,AZ,Arizona,TRUE,,6896,231,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85083,33.72456,-112.15854,Phoenix,AZ,Arizona,TRUE,,19605,710,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85085,33.75295,-112.08931,Phoenix,AZ,Arizona,TRUE,,22211,264,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85086,33.81547,-112.12017,Phoenix,AZ,Arizona,TRUE,,42272,268,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85087,33.92352,-112.12793,New River,AZ,Arizona,TRUE,,8510,39.7,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85118,33.3534,-111.35045,Gold Canyon,AZ,Arizona,TRUE,,12908,29.7,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85119,33.40969,-111.50196,Apache Junction,AZ,Arizona,TRUE,,22447,186,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85120,33.40298,-111.56787,Apache Junction,AZ,Arizona,TRUE,,31795,608.9,4021,Pinal,"{'04013':16.23,'04021':83.77}",Pinal|Maricopa,04021|04013,FALSE,FALSE,America/Phoenix
85121,33.14345,-111.92129,Bapchule,AZ,Arizona,TRUE,,1676,11.5,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85122,32.91719,-111.74423,Casa Grande,AZ,Arizona,TRUE,,57860,393.2,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85123,32.71579,-111.69557,Arizona City,AZ,Arizona,TRUE,,11845,155,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85128,32.99048,-111.53804,Coolidge,AZ,Arizona,TRUE,,16745,35,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85131,32.67392,-111.55011,Eloy,AZ,Arizona,TRUE,,19387,25.8,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85132,32.93338,-111.20451,Florence,AZ,Arizona,TRUE,,36774,21.5,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85135,33.00418,-110.786,Hayden,AZ,Arizona,TRUE,,470,551.8,4007,Gila,{'04007':100},Gila,4007,FALSE,FALSE,America/Phoenix
85137,33.13734,-111.00193,Kearny,AZ,Arizona,TRUE,,2576,4.3,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85138,33.00684,-111.98908,Maricopa,AZ,Arizona,TRUE,,36636,175.3,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85139,32.97601,-112.14605,Maricopa,AZ,Arizona,TRUE,,18184,35.9,4021,Pinal,"{'04013':0.69,'04021':99.31}",Pinal|Maricopa,04021|04013,FALSE,FALSE,America/Phoenix
85140,33.24455,-111.54381,San Tan Valley,AZ,Arizona,TRUE,,46804,422.7,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85141,32.67333,-111.45436,Picacho,AZ,Arizona,TRUE,,401,4.7,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85142,33.19863,-111.63817,Queen Creek,AZ,Arizona,TRUE,,65881,265.7,4013,Maricopa,"{'04013':66.26,'04021':33.74}",Maricopa|Pinal,04013|04021,FALSE,FALSE,America/Phoenix
85143,33.15864,-111.51902,San Tan Valley,AZ,Arizona,TRUE,,38235,375.9,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85145,32.55752,-111.36787,Red Rock,AZ,Arizona,TRUE,,3763,36.6,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85147,33.12586,-111.73727,Sacaton,AZ,Arizona,TRUE,,3551,24.6,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85172,32.88609,-111.95379,Stanfield,AZ,Arizona,TRUE,,2072,8,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85173,33.27017,-111.12336,Superior,AZ,Arizona,TRUE,,3048,29.7,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85192,32.96051,-110.68865,Winkelman,AZ,Arizona,TRUE,,1940,2.3,4021,Pinal,"{'04007':32.74,'04021':67.26}",Pinal|Gila,04021|04007,FALSE,FALSE,America/Phoenix
85193,32.79405,-111.82022,Casa Grande,AZ,Arizona,TRUE,,5077,7.3,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85194,32.89835,-111.62605,Casa Grande,AZ,Arizona,TRUE,,7472,34.2,4021,Pinal,{'04021':100},Pinal,4021,FALSE,FALSE,America/Phoenix
85201,33.43386,-111.85023,Mesa,AZ,Arizona,TRUE,,51519,1906.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85202,33.38249,-111.87447,Mesa,AZ,Arizona,TRUE,,39245,2288.5,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85203,33.45005,-111.804,Mesa,AZ,Arizona,TRUE,,39069,1497.7,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85204,33.39679,-111.7881,Mesa,AZ,Arizona,TRUE,,69278,2373.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85205,33.43231,-111.71872,Mesa,AZ,Arizona,TRUE,,42171,1572.2,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85206,33.39667,-111.71772,Mesa,AZ,Arizona,TRUE,,36901,1341.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85207,33.4535,-111.63683,Mesa,AZ,Arizona,TRUE,,49727,578.7,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85208,33.40164,-111.62824,Mesa,AZ,Arizona,TRUE,,37967,1494.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85209,33.37832,-111.63766,Mesa,AZ,Arizona,TRUE,,40201,1303.2,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85210,33.38986,-111.84321,Mesa,AZ,Arizona,TRUE,,40919,2138.5,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85212,33.32212,-111.63545,Mesa,AZ,Arizona,TRUE,,33724,266.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85213,33.44849,-111.77002,Mesa,AZ,Arizona,TRUE,,36902,1296.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85215,33.51105,-111.5788,Mesa,AZ,Arizona,TRUE,,16929,74.4,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85224,33.32366,-111.87644,Chandler,AZ,Arizona,TRUE,,44333,1770.7,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85225,33.31738,-111.83218,Chandler,AZ,Arizona,TRUE,,70066,2103.7,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85226,33.25895,-112.00762,Chandler,AZ,Arizona,TRUE,,38884,180,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85233,33.35209,-111.81136,Gilbert,AZ,Arizona,TRUE,,35284,1490.5,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85234,33.36454,-111.73944,Gilbert,AZ,Arizona,TRUE,,49894,1625.6,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85248,33.21797,-111.86962,Chandler,AZ,Arizona,TRUE,,33302,380.7,4013,Maricopa,"{'04013':97.55,'04021':2.45}",Maricopa|Pinal,04013|04021,FALSE,FALSE,America/Phoenix
85249,33.22551,-111.79707,Chandler,AZ,Arizona,TRUE,,39052,1031.7,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85250,33.53581,-111.88854,Scottsdale,AZ,Arizona,TRUE,,17734,652.8,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85251,33.49395,-111.91947,Scottsdale,AZ,Arizona,TRUE,,41575,1801.6,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85253,33.54501,-111.95854,Paradise Valley,AZ,Arizona,TRUE,,18643,366.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85254,33.61505,-111.95195,Scottsdale,AZ,Arizona,TRUE,,46333,1296.5,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85255,33.68316,-111.82109,Scottsdale,AZ,Arizona,TRUE,,41625,164.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85256,33.50195,-111.84065,Scottsdale,AZ,Arizona,TRUE,,5862,58.2,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85257,33.46418,-111.91593,Scottsdale,AZ,Arizona,TRUE,,33369,1575.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85258,33.56466,-111.89565,Scottsdale,AZ,Arizona,TRUE,,25152,1050.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85259,33.60113,-111.80949,Scottsdale,AZ,Arizona,TRUE,,23124,403.8,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85260,33.60958,-111.89157,Scottsdale,AZ,Arizona,TRUE,,38934,959.4,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85262,33.83184,-111.81057,Scottsdale,AZ,Arizona,TRUE,,11546,34.4,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85263,33.82693,-111.51453,Rio Verde,AZ,Arizona,TRUE,,2600,2.4,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85264,33.63083,-111.53258,Fort Mcdowell,AZ,Arizona,TRUE,,1388,2.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85266,33.76694,-111.91827,Scottsdale,AZ,Arizona,TRUE,,12937,257,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85268,33.60699,-111.74005,Fountain Hills,AZ,Arizona,TRUE,,24812,425.4,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85281,33.42817,-111.93113,Tempe,AZ,Arizona,TRUE,,65283,1657.6,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85282,33.39416,-111.93187,Tempe,AZ,Arizona,TRUE,,54649,1681.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85283,33.36461,-111.93209,Tempe,AZ,Arizona,TRUE,,51119,1967.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85284,33.33718,-111.93425,Tempe,AZ,Arizona,TRUE,,18945,819.4,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85286,33.27106,-111.83123,Chandler,AZ,Arizona,TRUE,,42979,925.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85295,33.30544,-111.74085,Gilbert,AZ,Arizona,TRUE,,45763,1170.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85296,33.33539,-111.74059,Gilbert,AZ,Arizona,TRUE,,43643,1254.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85297,33.2778,-111.7335,Gilbert,AZ,Arizona,TRUE,,33029,987,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85298,33.24188,-111.72573,Gilbert,AZ,Arizona,TRUE,,30987,579.5,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85301,33.53176,-112.17798,Glendale,AZ,Arizona,TRUE,,68300,2505.5,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85302,33.56796,-112.17795,Glendale,AZ,Arizona,TRUE,,40434,2335.4,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85303,33.53271,-112.2211,Glendale,AZ,Arizona,TRUE,,33380,1848.2,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85304,33.59646,-112.17698,Glendale,AZ,Arizona,TRUE,,27746,1794.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85305,33.53079,-112.25636,Glendale,AZ,Arizona,TRUE,,12760,659.4,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85306,33.62394,-112.17639,Glendale,AZ,Arizona,TRUE,,25206,1666.4,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85307,33.53756,-112.31365,Glendale,AZ,Arizona,TRUE,,11212,286.5,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85308,33.66051,-112.18462,Glendale,AZ,Arizona,TRUE,,66057,1444,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85309,33.53551,-112.37668,Luke Air Force Base,AZ,Arizona,TRUE,,681,167.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85310,33.69578,-112.17189,Glendale,AZ,Arizona,TRUE,,19649,805.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85320,33.91865,-113.21338,Aguila,AZ,Arizona,TRUE,,1480,0.8,4013,Maricopa,"{'04013':98.66,'04025':1.34}",Maricopa|Yavapai,04013|04025,FALSE,FALSE,America/Phoenix
85321,32.22944,-112.65434,Ajo,AZ,Arizona,TRUE,,4370,1.1,4019,Pima,"{'04013':3.4,'04019':96.6}",Pima|Maricopa,04019|04013,FALSE,FALSE,America/Phoenix
85322,33.1741,-112.85102,Arlington,AZ,Arizona,TRUE,,626,0.8,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85323,33.41939,-112.32606,Avondale,AZ,Arizona,TRUE,,42812,820.7,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85324,34.11917,-112.04425,Black Canyon City,AZ,Arizona,TRUE,,3172,3.8,4025,Yavapai,{'04025':100},Yavapai,4025,FALSE,FALSE,America/Phoenix
85325,33.99878,-113.90159,Bouse,AZ,Arizona,TRUE,,1243,0.6,4012,La Paz,{'04012':100},La Paz,4012,FALSE,FALSE,America/Phoenix
85326,33.28904,-112.57796,Buckeye,AZ,Arizona,TRUE,,60999,54.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85328,33.22631,-114.63446,Cibola,AZ,Arizona,TRUE,,302,0.6,4012,La Paz,{'04012':100},La Paz,4012,FALSE,FALSE,America/Phoenix
85331,33.88507,-111.93494,Cave Creek,AZ,Arizona,TRUE,,29905,92.6,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85332,34.19083,-112.90463,Congress,AZ,Arizona,TRUE,,1693,2,4025,Yavapai,{'04025':100},Yavapai,4025,FALSE,FALSE,America/Phoenix
85333,33.02342,-113.28109,Dateland,AZ,Arizona,TRUE,,715,0.4,4027,Yuma,"{'04013':9.75,'04027':90.25}",Yuma|Maricopa,04027|04013,FALSE,FALSE,America/Phoenix
85334,33.52219,-114.53382,Ehrenberg,AZ,Arizona,TRUE,,939,8.8,4012,La Paz,{'04012':100},La Paz,4012,FALSE,FALSE,America/Phoenix
